Year	Month	Day	Temperature
2016	9	10	25.83
2016	9	11	25.8
2016	9	12	26.66
2016	9	13	27.54
2016	9	14	26.47
2016	9	15	27.49
2016	9	16	27.03
2016	9	17	25.91
2016	9	18	24.69
2016	9	19	24.04
2016	9	20	23.67
2016	9	21	24.18
2016	9	22	24.58
2016	9	23	23.37
2016	9	24	24.93
2016	9	25	22.83
2016	9	26	21.13
2016	9	27	21.79
2016	9	28	20.76
2016	9	29	20.78
2016	9	30	24.08
2016	10	1	25.4
2016	10	2	25.38
2016	10	3	25.45
2016	10	4	25.21
2016	10	5	23.69
2016	10	6	24.03
2016	10	7	23.32
2016	10	8	22.61
2016	10	9	21.22
2016	10	10	20.85
2016	10	11	21.48
2016	10	12	23.35
2016	10	13	25.12
2016	10	14	23.53
2016	10	15	22.83
2016	10	16	21.85
2016	10	17	21.29
2016	10	18	22.12
2016	10	19	21.65
2016	10	20	21.02
2016	10	21	19.87
2016	10	22	21.63
2016	10	23	23.86
2016	10	24	24.68
2016	10	25	24.62
2016	10	26	23.58
2016	10	27	22.47
2016	10	28	20.36
2016	10	29	19.1
2016	10	30	18.55
2016	10	31	18.82
2016	11	1	17.78
2016	11	2	18.51
2016	11	3	19.25
2016	11	4	19.08
2016	11	5	19.46
2016	11	6	20.52
2016	11	7	18.73
2016	11	8	16.39
2016	11	9	16.41
2016	11	10	16.51
2016	11	11	16.56
2016	11	12	17.2
2016	11	13	16.87
2016	11	14	16.87
2016	11	15	17.32
2016	11	16	19.14
2016	11	17	16.9
2016	11	18	16.98
2016	11	19	16.45
2016	11	20	16.76
2016	11	21	16.64
2016	11	22	16.57
2016	11	23	17.3
2016	11	24	18.81
2016	11	25	15.3
2016	11	26	14.23
2016	11	27	13.83
2016	11	28	14.18
2016	11	29	14.78
2016	11	30	12.92
2016	12	1	11.06
2016	12	2	11.41
2016	12	3	11.26
2016	12	4	12.99
2016	12	5	13.72
2016	12	6	14.69
2016	12	7	14.51
2016	12	8	15.2
2016	12	9	15.06
2016	12	10	13.75
2016	12	11	12.52
2016	12	12	13.69
2016	12	13	14.27
2016	12	14	14.03
2016	12	15	13.29
2016	12	16	14.01
2016	12	17	14.48
2016	12	18	14.26
2016	12	19	14.83
2016	12	20	12.88
2016	12	21	13.51
2016	12	22	12.58
2016	12	23	13.19
2016	12	24	14.14
2016	12	25	14.77
2016	12	26	13.9
2016	12	27	12.76
2016	12	28	13.51
2016	12	29	11.62
2016	12	30	11.01
2016	12	31	9.9
2017	1	1	9.33
2017	1	2	8.89
2017	1	3	10.76
2017	1	4	12.92
2017	1	5	12.58
2017	1	6	9.56
2017	1	7	9.2
2017	1	8	10.77
2017	1	9	10.26
2017	1	10	9.63
2017	1	11	10.44
2017	1	12	9.01
2017	1	13	10.3
2017	1	14	10.4
2017	1	15	8.66
2017	1	16	8.86
2017	1	17	7.63
2017	1	18	9.01
2017	1	19	9.2
2017	1	20	10.81
2017	1	21	12.08
2017	1	22	9.22
2017	1	23	9.32
2017	1	24	9.54
2017	1	25	10.24
2017	1	26	9.84
2017	1	27	10.02
2017	1	28	9.38
2017	1	29	10.76
2017	1	30	10.1
2017	1	31	11.12
2017	2	1	11.95
2017	2	2	12
2017	2	3	11.99
2017	2	4	11.65
2017	2	5	12.77
2017	2	6	11.63
2017	2	7	12.96
2017	2	8	12.68
2017	2	9	10.65
2017	2	10	10.98
2017	2	11	10.82
2017	2	12	11.87
2017	2	13	13.5
2017	2	14	12.98
2017	2	15	12.15
2017	2	16	10.9
2017	2	17	11.02
2017	2	18	11.48
2017	2	19	11.11
2017	2	20	10.56
2017	2	21	10.52
2017	2	22	10.4
2017	2	23	12.17
2017	2	24	14.33
2017	2	25	12.15
2017	2	26	12.52
2017	2	27	12.64
2017	2	28	12.69
2017	3	1	13.03
2017	3	2	12.99
2017	3	3	14.11
2017	3	4	13.97
2017	3	5	13.76
2017	3	6	14.25
2017	3	7	14.08
2017	3	8	13.58
2017	3	9	14.08
2017	3	10	14.72
2017	3	11	13.54
2017	3	12	13.3
2017	3	13	15.42
2017	3	14	14.3
2017	3	15	13.65
2017	3	16	12.12
2017	3	17	12.44
2017	3	18	12.67
2017	3	19	13.32
2017	3	20	14.22
2017	3	21	15.07
2017	3	22	15.71
2017	3	23	16.36
2017	3	24	16.33
2017	3	25	13.97
2017	3	26	14.32
2017	3	27	14.03
2017	3	28	12.96
2017	3	29	13.61
2017	3	30	14.48
2017	3	31	15.78
2017	4	1	16.66
2017	4	2	13.87
2017	4	3	13.97
2017	4	4	15.64
2017	4	5	15.9
2017	4	6	14.19
2017	4	7	13.73
2017	4	8	15.08
2017	4	9	14.9
2017	4	10	15.59
2017	4	11	15.7
2017	4	12	16.1
2017	4	13	15.87
2017	4	14	16.79
2017	4	15	18.08
2017	4	16	17.1
2017	4	17	17.26
2017	4	18	17.69
2017	4	19	16.53
2017	4	20	14.92
2017	4	21	13.74
2017	4	22	14.42
2017	4	23	16.43
2017	4	24	17.37
2017	4	25	18.55
2017	4	26	21.1
2017	4	27	20.94
2017	4	28	18.23
2017	4	29	16.68
2017	4	30	17.98
2017	5	1	19.1
2017	5	2	17.76
2017	5	3	19.54
2017	5	4	22.5
2017	5	5	24.16
2017	5	6	22.23
2017	5	7	19.78
2017	5	8	19
2017	5	9	19.99
2017	5	10	22.47
2017	5	11	22.08
2017	5	12	23.21
2017	5	13	22.46
2017	5	14	22.08
2017	5	15	20.79
2017	5	16	21.37
2017	5	17	22.08
2017	5	18	22.49
2017	5	19	22.36
2017	5	20	20.55
2017	5	21	20.11
2017	5	22	21.64
2017	5	23	23.35
2017	5	24	23.19
2017	5	25	24.07
2017	5	26	23.12
2017	5	27	22.32
2017	5	28	22.32
2017	5	29	23.25
2017	5	30	23.69
2017	5	31	23.56
2017	6	1	26
2017	6	2	24.45
2017	6	3	25.94
2017	6	4	25.86
2017	6	5	25.06
2017	6	6	22.19
2017	6	7	22.85
2017	6	8	22.55
2017	6	9	25.63
2017	6	10	25.22
2017	6	11	24.29
2017	6	12	25.38
2017	6	13	26.77
2017	6	14	27.34
2017	6	15	27.92
2017	6	16	27.98
2017	6	17	27.83
2017	6	18	27.33
2017	6	19	26.07
2017	6	20	26.75
2017	6	21	29.09
2017	6	22	29.51
2017	6	23	28.84
2017	6	24	28.73
2017	6	25	30.26
2017	6	26	32.01
2017	6	27	32.66
2017	6	28	31.26
2017	6	29	30.65
2017	6	30	28.52
2017	7	1	26.51
2017	7	2	25.91
2017	7	3	26.42
2017	7	4	27.63
2017	7	5	28.49
2017	7	6	29.19
